Id,Group,class,invCnt,greens,reds,controv,other_ms_ada,own_ms_ada,winning,comparaison_ada,sim_ada,n_tokens,own_ms_use,other_ms_use,sim_use
39,A,High Priority,10,10,3,0.488769531,98,44,0,Other,0.923413255,37,165,98,0.61341393
39,A,High Priority,10,10,3,0.488769531,98,44,0,Own,0.871746355,37,165,98,0.498870045
40,A,Neutral,11,9,3,0.698242188,18,32,0,Other,0.848974845,33,116,193,0.445510447
40,A,Neutral,11,9,3,0.698242188,18,32,0,Own,0.852947846,33,116,193,0.444855034
43,A,High Priority,15,14,2,0.03112793,105,111,0,Other,0.898354086,54,111,105,0.643764257
43,A,High Priority,15,14,2,0.03112793,105,111,0,Own,0.870486927,54,111,105,0.363479853
49,A,Controversial,21,14,10,2.92249918,114,174,0,Other,0.887072294,45,133,114,0.601658642
49,A,Controversial,21,14,10,2.92249918,114,174,0,Own,0.848283212,45,133,114,0.470687985
52,A,High Priority,18,14,5,0.443572998,102,39,1,Other,0.843477433,39,39,21,0.393102646
52,A,High Priority,18,14,5,0.443572998,102,39,1,Own,0.856982276,39,39,21,0.456451654
54,A,High Priority,19,18,3,0.013952255,17,138,1,Other,0.963194425,34,52,17,0.852661371
54,A,High Priority,19,18,3,0.013952255,17,138,1,Own,0.851953173,34,52,17,0.302084714
64,A,High Priority,9,12,0,0.003173849,7,164,0,Other,0.841250762,212,150,21,0.595657587
64,A,High Priority,9,12,0,0.003173849,7,164,0,Own,0.842423104,212,150,21,0.519659042
72,A,High Priority,20,18,2,0.003805161,21,150,0,Other,0.842149607,91,155,22,0.467869341
72,A,High Priority,20,18,2,0.003805161,21,150,0,Own,0.862452105,91,155,22,0.515174031
73,A,Controversial,26,12,17,2.899911348,193,56,0,Other,0.912131793,87,115,193,0.514880061
73,A,Controversial,26,12,17,2.899911348,193,56,0,Own,0.801616879,87,115,193,0.289187551
74,A,Controversial,16,10,7,2.670776367,77,75,1,Other,0.869777939,73,75,77,0.394873321
74,A,Controversial,16,10,7,2.670776367,77,75,1,Own,0.877288866,73,75,77,0.551045179
153,A,High Priority,23,28,0,1.08E-07,16,32,1,Other,0.901572941,29,96,16,0.522540212
153,A,High Priority,23,28,0,1.08E-07,16,32,1,Own,0.862740743,29,96,16,0.468701363
165,A,High Priority,7,9,0,0.019531323,7,39,1,Other,0.938408353,41,39,7,0.672010779
165,A,High Priority,7,9,0,0.019531323,7,39,1,Own,0.866980053,41,39,7,0.498870045
179,A,Neutral,9,7,3,1.2890625,102,32,0,Other,0.881638573,35,39,102,0.499170482
179,A,Neutral,9,7,3,1.2890625,102,32,0,Own,0.866434931,35,39,102,0.455783129
211,A,High Priority,16,14,5,0.443572998,118,194,1,Other,0.849902289,32,67,105,0.404226989
211,A,High Priority,16,14,5,0.443572998,118,194,1,Own,0.818505707,32,67,105,0.385381222
32,A,Low Priority,38,2,51,8.26E-12,18,179,0,Other,0.859083651,35,116,141,0.512035012
32,A,Low Priority,38,2,51,8.26E-12,18,179,0,Own,0.866434931,35,116,141,0.53532362
33,A,Low Priority,11,1,10,0.064452771,7,154,0,Other,0.833989395,11,148,24,0.289733946
33,A,Low Priority,11,1,10,0.064452771,7,154,0,Own,0.837703176,11,148,24,0.297021627
