user id,doc id,inv token,doc title
82,128,-1,Idea 128
82,196,1,Idea 196
82,6,1,Idea 6
82,7,1,Idea 7
82,8,-1,Idea 8
82,9,1,Idea 9
82,169,-1,Idea 169
82,10,1,Idea 10
82,107,-1,Idea 107
82,80,1,Idea 80
82,113,-1,Idea 113
82,82,-1,Idea 82
82,22,1,Idea 22
82,23,-1,Idea 23
82,123,-1,Idea 123
82,126,1,Idea 126
14,128,-2,Idea 128
14,16,1,Idea 16
14,80,-2,Idea 80
14,102,1,Idea 102
14,169,-2,Idea 169
14,10,1,Idea 10
14,107,-1,Idea 107
14,28,2,Idea 28
14,157,1,Idea 157
14,110,1,Idea 110
14,126,-1,Idea 126
14,31,1,Idea 31
52,208,2,Idea 208
52,129,-1,Idea 129
52,114,-1,Idea 114
52,146,-2,Idea 146
52,23,2,Idea 23
52,8,1,Idea 8
52,169,1,Idea 169
52,10,-1,Idea 10
52,203,-2,Idea 203
52,108,2,Idea 108
52,126,-1,Idea 126
7,208,2,Idea 208
7,128,-2,Idea 128
7,160,-2,Idea 160
7,146,1,Idea 146
7,21,-1,Idea 21
7,22,1,Idea 22
7,7,1,Idea 7
7,24,-2,Idea 24
7,9,2,Idea 9
7,109,-1,Idea 109
7,157,1,Idea 157
13,128,-1,Idea 128
13,193,1,Idea 193
13,129,-1,Idea 129
13,6,1,Idea 6
13,136,-1,Idea 136
13,107,-1,Idea 107
13,79,-1,Idea 79
13,208,1,Idea 208
13,113,1,Idea 113
13,146,-1,Idea 146
13,18,1,Idea 18
13,22,1,Idea 22
13,24,-1,Idea 24
13,28,1,Idea 28
13,126,1,Idea 126
13,30,-1,Idea 30
126,160,-1,Idea 160
126,129,-1,Idea 129
126,7,-1,Idea 7
126,8,1,Idea 8
126,137,-1,Idea 137
126,108,1,Idea 108
126,109,-1,Idea 109
126,110,1,Idea 110
126,82,1,Idea 82
126,146,-1,Idea 146
126,22,1,Idea 22
126,215,2,Idea 215
126,23,-1,Idea 23
126,28,1,Idea 28
126,95,-1,Idea 95
48,160,-1,Idea 160
48,128,-1,Idea 128
48,129,1,Idea 129
48,136,-1,Idea 136
48,137,-1,Idea 137
48,105,1,Idea 105
48,169,1,Idea 169
48,10,1,Idea 10
48,107,-1,Idea 107
48,108,1,Idea 108
48,208,-1,Idea 208
48,18,1,Idea 18
48,178,1,Idea 178
48,23,-1,Idea 23
48,24,-1,Idea 24
48,157,1,Idea 157
65,113,-2,Idea 113
65,182,-1,Idea 182
65,24,-1,Idea 24
65,10,-2,Idea 10
65,107,2,Idea 107
65,203,-2,Idea 203
65,108,2,Idea 108
65,28,2,Idea 28
65,110,1,Idea 110
65,30,1,Idea 30
24,160,1,Idea 160
24,193,-1,Idea 193
24,7,2,Idea 7
24,8,-2,Idea 8
24,9,1,Idea 9
24,108,1,Idea 108
24,146,-2,Idea 146
24,114,1,Idea 114
24,82,-1,Idea 82
24,22,1,Idea 22
24,24,-1,Idea 24
24,123,-1,Idea 123
24,157,1,Idea 157
17,128,-1,Idea 128
17,7,-1,Idea 7
17,169,-1,Idea 169
17,107,-1,Idea 107
17,108,1,Idea 108
17,109,1,Idea 109
17,110,2,Idea 110
17,79,-1,Idea 79
17,80,-1,Idea 80
17,146,-2,Idea 146
17,178,1,Idea 178
17,28,1,Idea 28
17,157,1,Idea 157
17,127,1,Idea 127
21,16,-2,Idea 16
21,129,-1,Idea 129
21,17,1,Idea 17
21,146,-1,Idea 146
21,82,1,Idea 82
21,21,1,Idea 21
21,169,-1,Idea 169
21,107,-1,Idea 107
21,108,1,Idea 108
21,157,2,Idea 157
21,110,2,Idea 110
21,95,-2,Idea 95
23,160,1,Idea 160
23,193,-1,Idea 193
23,6,1,Idea 6
23,169,-1,Idea 169
23,203,-1,Idea 203
23,107,-2,Idea 107
23,108,1,Idea 108
23,77,1,Idea 77
23,110,1,Idea 110
23,16,1,Idea 16
23,146,-1,Idea 146
23,118,1,Idea 118
23,24,1,Idea 24
23,30,-1,Idea 30
23,95,-1,Idea 95
55,128,-1,Idea 128
55,129,-1,Idea 129
55,102,1,Idea 102
55,7,1,Idea 7
55,8,1,Idea 8
55,9,-1,Idea 9
55,169,1,Idea 169
55,10,-1,Idea 10
55,203,-1,Idea 203
55,113,-1,Idea 113
55,82,1,Idea 82
55,21,-1,Idea 21
55,22,1,Idea 22
55,215,1,Idea 215
55,157,-1,Idea 157
55,30,1,Idea 30
61,160,-2,Idea 160
61,16,2,Idea 16
61,18,-2,Idea 18
61,102,2,Idea 102
61,9,2,Idea 9
61,123,-2,Idea 123
61,203,-2,Idea 203
61,141,2,Idea 141
76,160,-1,Idea 160
76,193,-1,Idea 193
76,7,2,Idea 7
76,8,1,Idea 8
76,136,-1,Idea 136
76,169,1,Idea 169
76,105,1,Idea 105
76,203,-1,Idea 203
76,107,-1,Idea 107
76,108,-1,Idea 108
76,18,1,Idea 18
76,146,-1,Idea 146
76,24,1,Idea 24
76,123,-1,Idea 123
76,127,1,Idea 127
19,160,-1,Idea 160
19,128,-1,Idea 128
19,197,1,Idea 197
19,8,-1,Idea 8
19,203,-1,Idea 203
19,107,-1,Idea 107
19,16,2,Idea 16
19,208,-1,Idea 208
19,114,1,Idea 114
19,82,2,Idea 82
19,21,-1,Idea 21
19,24,-1,Idea 24
19,157,1,Idea 157
19,31,1,Idea 31
116,80,-2,Idea 80
116,146,-2,Idea 146
116,82,2,Idea 82
116,114,2,Idea 114
116,215,1,Idea 215
116,105,1,Idea 105
116,10,-2,Idea 10
116,107,-2,Idea 107
116,28,2,Idea 28
111,160,-1,Idea 160
111,6,-1,Idea 6
111,105,2,Idea 105
111,10,1,Idea 10
111,107,-2,Idea 107
111,108,1,Idea 108
111,80,1,Idea 80
111,82,1,Idea 82
111,146,-2,Idea 146
111,118,-1,Idea 118
111,123,-1,Idea 123
111,28,1,Idea 28
111,30,1,Idea 30
119,128,-1,Idea 128
119,193,-1,Idea 193
119,102,-1,Idea 102
119,7,1,Idea 7
119,8,1,Idea 8
119,169,-1,Idea 169
119,10,-1,Idea 10
119,107,-1,Idea 107
119,76,1,Idea 76
119,208,1,Idea 208
119,80,-1,Idea 80
119,178,1,Idea 178
119,28,1,Idea 28
119,157,1,Idea 157
119,95,-1,Idea 95
119,31,1,Idea 31
64,160,1,Idea 160
64,17,1,Idea 17
64,21,1,Idea 21
64,24,-1,Idea 24
64,105,2,Idea 105
64,137,-2,Idea 137
64,203,-2,Idea 203
64,108,-1,Idea 108
64,77,1,Idea 77
64,109,-2,Idea 109
64,110,2,Idea 110
58,146,2,Idea 146
58,18,-2,Idea 18
58,197,2,Idea 197
58,22,-1,Idea 22
58,169,2,Idea 169
58,107,2,Idea 107
58,108,-1,Idea 108
58,28,-2,Idea 28
58,109,-1,Idea 109
58,110,-1,Idea 110
20,16,-1,Idea 16
20,129,-2,Idea 129
20,98,1,Idea 98
20,21,2,Idea 21
20,102,1,Idea 102
20,182,2,Idea 182
20,9,-1,Idea 9
20,169,-1,Idea 169
20,105,-1,Idea 105
20,107,-1,Idea 107
20,77,-1,Idea 77
20,79,2,Idea 79
77,128,2,Idea 128
77,160,-1,Idea 160
77,129,1,Idea 129
77,196,-1,Idea 196
77,8,1,Idea 8
